Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-11-01,Betis,Ath Bilbao,1,3,A,1,1,2,7,8,0,1.4,1.4,1.8,1.0,-1,-0.40000000000000013,0.3999999999999999
2015-11-01,Eibar,Vallecano,1,0,H,0,0,0,6,6,0,1.4,1.4,1.8,2.2,0,-0.40000000000000013,-0.8000000000000003
2015-11-01,Espanol,Granada,1,1,D,1,0,1,6,3,0,1.0,1.8,1.0,1.8,3,0.0,0.0
2015-11-01,Sp Gijon,Malaga,1,0,H,0,0,0,4,7,0,1.4,2.2,1.0,1.0,-3,0.3999999999999999,1.2000000000000002
2015-11-06,Las Palmas,Sociedad,2,0,H,0,0,0,1,4,0,0.4,2.2,1.4,1.6,-3,-0.9999999999999999,0.6000000000000001
2015-11-07,Celta,Valencia,1,5,A,1,1,2,8,9,0,1.4,1.4,1.8,1.0,-1,-0.40000000000000013,0.3999999999999999
2015-11-07,Eibar,Getafe,3,1,H,1,1,0,8,7,0,1.2,1.0,1.4,1.4,1,-0.19999999999999996,-0.3999999999999999
2015-11-07,Levante,La Coruna,1,1,D,1,0,1,3,6,0,0.2,2.6,1.4,1.2,-3,-1.2,1.4000000000000001
2015-11-07,Malaga,Betis,0,1,A,0,0,2,7,7,0,1.0,1.0,1.4,1.6,0,-0.3999999999999999,-0.6000000000000001
2015-11-07,Vallecano,Granada,2,1,H,1,1,0,3,4,0,1.4,2.2,1.2,1.4,-1,0.19999999999999996,0.8000000000000003
2015-11-08,Sevilla,Real Madrid,3,2,H,1,1,0,10,11,0,2.4,1.2,2.0,0.6,-1,0.3999999999999999,0.6
2015-11-08,Barcelona,Villarreal,3,0,H,0,1,0,12,7,0,2.6,1.2,0.8,0.8,5,1.8,0.3999999999999999
2015-11-08,Ath Bilbao,Espanol,2,1,H,1,1,0,11,4,0,2.2,0.8,1.0,2.0,7,1.2000000000000002,-1.2
2015-11-08,Ath Madrid,Sp Gijon,1,0,H,0,0,0,8,7,0,1.2,0.8,1.4,1.8,1,-0.19999999999999996,-1.0
